# packages in environment at /Users/rylanspence/mambaforge/envs/fenics-env3:
#
# Name                    Version                   Build  Channel
fenics-ufl                2024.2.0           pyhd8ed1ab_1    conda-forge
fenics-ufl-legacy         2022.3.0                 pypi_0    pypi
ffmpeg                    7.1.1           gpl_h583251a_104    conda-forge
fftw                      3.3.10          mpi_mpich_hd148bab_10    conda-forge
fmt                       11.1.4               h440487c_1    conda-forge
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 h77eed37_3    conda-forge
fontconfig                2.15.0               h1383a14_1    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                             0    conda-forge
fonttools                 4.57.0          py313ha9b7d5b_0    conda-forge
fqdn                      1.5.1                    pypi_0    pypi
freetype                  2.13.3               h1d14073_0    conda-forge
fribidi                   1.0.10               h27ca646_0    conda-forge
frozenlist                1.5.0           py313ha9b7d5b_1    conda-forge
gdk-pixbuf                2.42.12              h7ddc832_0    conda-forge
gl2ps                     1.4.2                hc97c1ff_1    conda-forge
glew                      2.1.0                h9f76cd9_2    conda-forge
gmp                       6.3.0                h7bae524_2    conda-forge
graphite2                 1.3.13            hebf3989_1003    conda-forge
h11                       0.16.0                   pypi_0    pypi
h2                        4.2.0              pyhd8ed1ab_0    conda-forge
harfbuzz                  11.0.1               h371b746_0    conda-forge
hdf4                      4.2.15               h2ee6834_7    conda-forge
hdf5                      1.14.3          mpi_mpich_h13a04de_9    conda-forge
hpack                     4.1.0              pyhd8ed1ab_0    conda-forge
httpcore                  1.0.9                    pypi_0    pypi
httpx                     0.28.1                   pypi_0    pypi
hyperframe                6.1.0              pyhd8ed1ab_0    conda-forge
hypre                     2.32.0          mpi_mpich_h189fe77_1    conda-forge
icu                       75.1                 hfee45f7_0    conda-forge
idna                      3.10               pyhd8ed1ab_1    conda-forge
importlib-metadata        8.6.1              pyha770c72_0    conda-forge
iniconfig                 2.3.0                    pypi_0    pypi
ipykernel                 6.29.5             pyh57ce528_0    conda-forge
ipython                   9.1.0              pyhfb0248b_0    conda-forge
ipython-genutils          0.2.0                    pypi_0    pypi
ipython_pygments_lexers   1.1.1              pyhd8ed1ab_0    conda-forge
isoduration               20.11.0                  pypi_0    pypi
jedi                      0.19.2             pyhd8ed1ab_1    conda-forge
jinja2                    3.1.6                    pypi_0    pypi
joblib                    1.5.0                    pypi_0    pypi
json5                     0.13.0                   pypi_0    pypi
jsoncpp                   1.9.6                h726d253_1    conda-forge
jsonpointer               3.0.0                    pypi_0    pypi
jsonschema                4.26.0                   pypi_0    pypi
jsonschema-specifications 2025.9.1                 pypi_0    pypi
jupyter-events            0.12.0                   pypi_0    pypi
jupyter-highlight-selected-word 0.2.0                    pypi_0    pypi
jupyter-lsp               2.3.0                    pypi_0    pypi
jupyter-server            2.17.0                   pypi_0    pypi
jupyter-server-terminals  0.5.4                    pypi_0    pypi
jupyter_client            8.6.3              pyhd8ed1ab_1    conda-forge
jupyter_core              5.7.2              pyh31011fe_1    conda-forge
jupyterlab                4.5.3                    pypi_0    pypi
jupyterlab-pygments       0.3.0                    pypi_0    pypi
jupyterlab-server         2.28.0                   pypi_0    pypi
kahip                     3.18            py313hf2f5181_0    conda-forge
kiwisolver                1.4.7           py313hf9c7212_0    conda-forge
krb5                      1.21.3               h237132a_0    conda-forge
lame                      3.100             h1a8c8d9_1003    conda-forge
lark                      1.3.1                    pypi_0    pypi
lcms2                     2.17                 h7eeda09_0    conda-forge
ld64_osx-arm64            951.9                hb6b49e2_6    conda-forge
lerc                      4.0.0                h9a09cb3_0    conda-forge
libabseil                 20250127.1      cxx17_h07bc746_0    conda-forge
libadios2                 2.10.2          mpi_mpich_hfe2f02c_5    conda-forge
libaec                    1.1.3                hebf3989_0    conda-forge
libamd                    3.3.3           h5087772_7100102    conda-forge
libass                    0.17.3               h68e5b86_2    conda-forge
libblas                   3.9.0           31_h10e41b3_openblas    conda-forge
libboost                  1.86.0               hc9fb7c5_3    conda-forge
libboost-devel            1.86.0               hf450f58_3    conda-forge
libboost-headers          1.86.0               hce30654_3    conda-forge
libbrotlicommon           1.1.0                hd74edd7_2    conda-forge
libbrotlidec              1.1.0                hd74edd7_2    conda-forge
libbrotlienc              1.1.0                hd74edd7_2    conda-forge
libbtf                    2.3.2           h99b4a89_7100102    conda-forge
libcamd                   3.3.3           h99b4a89_7100102    conda-forge
libcblas                  3.9.0           31_hb3479ef_openblas    conda-forge
libccolamd                3.3.4           h99b4a89_7100102    conda-forge
libcholmod                5.3.1           hbba04d7_7100102    conda-forge
libclang-cpp18.1          18.1.8          default_hf90f093_9    conda-forge
libclang13                20.1.2          default_h81d93ff_0    conda-forge
libcolamd                 3.3.4           h99b4a89_7100102    conda-forge
libcurl                   8.13.0               h73640d1_0    conda-forge
libcxx                    20.1.2               ha82da77_0    conda-forge
libcxx-devel              18.1.8               h6dc3340_8    conda-forge
libdeflate                1.23                 hec38601_0    conda-forge
libedit                   3.1.20250104    pl5321hafb1f1b_0    conda-forge
libev                     4.33                 h93a5062_2    conda-forge
libexpat                  2.7.0                h286801f_0    conda-forge
libfabric                 2.1.0                hce30654_0    conda-forge
libfabric1                2.1.0                h5505292_0    conda-forge
libffi                    3.4.6                h1da3d7d_1    conda-forge
libgfortran               14.2.0             heb5dd2a_105    conda-forge
libgfortran5              14.2.0             h2c44a93_105    conda-forge
libglib                   2.84.0               hdff4504_0    conda-forge
libhwloc                  2.11.2          default_hbce5d74_1001    conda-forge
libiconv                  1.18                 hfe07756_1    conda-forge
libintl                   0.23.1               h493aca8_0    conda-forge
libjpeg-turbo             3.0.0                hb547adb_1    conda-forge
libklu                    2.3.5           h4370aa4_7100102    conda-forge
liblapack                 3.9.0           31_hc9a63f6_openblas    conda-forge
libllvm18                 18.1.8               hc4b4ae8_3    conda-forge
libllvm20                 20.1.2               hc4b4ae8_0    conda-forge
liblzma                   5.8.1                h39f12f2_0    conda-forge
libmpdec                  4.0.0                h99b78c6_0    conda-forge
libnetcdf                 4.9.2           nompi_h610d594_116    conda-forge
libnghttp2                1.64.0               h6d7220d_0    conda-forge
libntlm                   1.8                  h5505292_0    conda-forge
libogg                    1.3.5                h99b78c6_0    conda-forge
libopenblas               0.3.29          openmp_hf332438_0    conda-forge
libopenvino               2025.0.0             h3f17238_3    conda-forge
libopenvino-arm-cpu-plugin 2025.0.0             h3f17238_3    conda-forge
libopenvino-auto-batch-plugin 2025.0.0             h7f72211_3    conda-forge
libopenvino-auto-plugin   2025.0.0             h7f72211_3    conda-forge
libopenvino-hetero-plugin 2025.0.0             h718ad69_3    conda-forge
libopenvino-ir-frontend   2025.0.0             h718ad69_3    conda-forge
libopenvino-onnx-frontend 2025.0.0             h1ae5b81_3    conda-forge
libopenvino-paddle-frontend 2025.0.0             h1ae5b81_3    conda-forge
libopenvino-pytorch-frontend 2025.0.0             h286801f_3    conda-forge
libopenvino-tensorflow-frontend 2025.0.0             heb6e3e1_3    conda-forge
libopenvino-tensorflow-lite-frontend 2025.0.0             h286801f_3    conda-forge
libopus                   1.4                  h48c0fde_0    conda-forge
libpng                    1.6.47               h3783ad8_0    conda-forge
libpq                     17.4                 h6896619_1    conda-forge
libprotobuf               5.29.3               hccd9074_0    conda-forge
libptscotch               7.0.6                hcfc2647_1    conda-forge
librsvg                   2.58.4               h266df6f_3    conda-forge
libscotch                 7.0.6                hd10c9a7_1    conda-forge
libsodium                 1.0.20               h99b78c6_0    conda-forge
libspqr                   4.3.4           h775d698_7100102    conda-forge
libsqlite                 3.49.1               h3f77e49_2    conda-forge
libssh2                   1.11.1               h9cc3647_0    conda-forge
libsuitesparseconfig      7.10.1          h4a8fc20_7100102    conda-forge
libtheora                 1.1.1             h99b78c6_1006    conda-forge
libtiff                   4.7.0                h551f018_3    conda-forge
libumfpack                6.3.5           h7c2c975_7100102    conda-forge
libusb                    1.0.28               h5505292_0    conda-forge
libvorbis                 1.3.7                h9f76cd9_0    conda-forge
libvpx                    1.14.1               h7bae524_0    conda-forge
libwebp-base              1.5.0                h2471fea_0    conda-forge
libxcb                    1.17.0               hdb1d25a_0    conda-forge
libxml2                   2.13.7               h52572c6_1    conda-forge
libzip                    1.11.2               h1336266_0    conda-forge
libzlib                   1.3.1                h8359307_2    conda-forge
llvm-openmp               20.1.2               hdb05f8b_0    conda-forge
llvm-tools                18.1.8               hc4b4ae8_3    conda-forge
llvm-tools-18             18.1.8               hc4b4ae8_3    conda-forge
loguru                    0.7.2           py313h8f79df9_2    conda-forge
lxml                      6.0.2                    pypi_0    pypi
lz4-c                     1.10.0               h286801f_1    conda-forge
markupsafe                3.0.2                    pypi_0    pypi
matplotlib-base           3.10.1          py313haaf02c0_0    conda-forge
matplotlib-inline         0.1.7              pyhd8ed1ab_1    conda-forge
metis                     5.1.0             h15f6cfe_1007    conda-forge
mistune                   3.2.0                    pypi_0    pypi
mpi                       1.0.1                     mpich    conda-forge
mpi4py                    4.0.3           py313h208a61b_0    conda-forge
mpich                     4.3.0              h9d9a6ae_100    conda-forge
msgpack-python            1.1.0           py313hf9c7212_0    conda-forge
multidict                 6.3.2           py313h6347b5a_0    conda-forge
mumps-include             5.7.3                h71ed9e6_9    conda-forge
mumps-mpi                 5.7.3                h2d32478_9    conda-forge
munkres                   1.1.4              pyh9f0ad1d_0    conda-forge
mysql-common              9.2.0                hd7719f6_0    conda-forge
mysql-libs                9.2.0                ha8be5b7_0    conda-forge
nbclient                  0.10.4                   pypi_0    pypi
nbconvert                 7.17.0                   pypi_0    pypi
nbformat                  5.10.4                   pypi_0    pypi
ncurses                   6.5                  h5e97a16_3    conda-forge
nest-asyncio              1.6.0              pyhd8ed1ab_1    conda-forge
nlohmann_json             3.11.3               h00cdb27_1    conda-forge
notebook                  7.5.3                    pypi_0    pypi
notebook-shim             0.2.4                    pypi_0    pypi
numpy                     2.2.4           py313h41a2e72_0    conda-forge
openh264                  2.6.0                hb5b2745_0    conda-forge
openjpeg                  2.5.3                h8a3d83b_0    conda-forge
openldap                  2.6.9                hbe55e7a_0    conda-forge
openssl                   3.5.0                h81ee809_1    conda-forge
packaging                 24.2               pyhd8ed1ab_2    conda-forge
pandas                    2.2.3           py313h668b085_3    conda-forge
pandocfilters             1.5.1                    pypi_0    pypi
pango                     1.56.3               h5fd7515_1    conda-forge
parmetis                  4.0.3             ha4b917a_1007    conda-forge
parso                     0.8.4              pyhd8ed1ab_1    conda-forge
pcre2                     10.44                h297a79d_2    conda-forge
petsc                     3.22.3          real_h8f1400a_103    conda-forge
petsc4py                  3.22.4          np2py313h2f7c7fa_0    conda-forge
pexpect                   4.9.0              pyhd8ed1ab_1    conda-forge
pickleshare               0.7.5           pyhd8ed1ab_1004    conda-forge
pillow                    11.1.0          py313hb37fac4_0    conda-forge
pip                       25.0.1             pyh145f28c_0    conda-forge
pixman                    0.44.2               h2f9eb0b_0    conda-forge
pkg-config                0.29.2            hde07d2e_1009    conda-forge
platformdirs              4.3.7              pyh29332c3_0    conda-forge
pluggy                    1.6.0                    pypi_0    pypi
pooch                     1.8.2              pyhd8ed1ab_1    conda-forge
proj                      9.5.1                h1318a7e_0    conda-forge
prometheus-client         0.24.1                   pypi_0    pypi
prompt-toolkit            3.0.51             pyha770c72_0    conda-forge
propcache                 0.2.1           py313ha9b7d5b_1    conda-forge
psutil                    7.0.0           py313h90d716c_0    conda-forge
pthread-stubs             0.4               hd74edd7_1002    conda-forge
ptyprocess                0.7.0              pyhd8ed1ab_1    conda-forge
pugixml                   1.15                 hd3d436d_0    conda-forge
pure_eval                 0.2.3              pyhd8ed1ab_1    conda-forge
pyadjoint-ad              2025.4.0                 pypi_0    pypi
pycparser                 2.22               pyh29332c3_1    conda-forge
pygments                  2.19.1             pyhd8ed1ab_0    conda-forge
pyparsing                 3.2.3              pyhd8ed1ab_1    conda-forge
pysocks                   1.7.1              pyha55dd90_7    conda-forge
pytest                    9.0.0                    pypi_0    pypi
pytest-cov                7.0.0                    pypi_0    pypi
python                    3.13.2          h81fe080_101_cp313    conda-forge
python-dateutil           2.9.0.post0        pyhff2d567_1    conda-forge
python-json-logger        4.0.0                    pypi_0    pypi
python-tzdata             2023.3             pyhd3eb1b0_0  
python_abi                3.13                    6_cp313    conda-forge
pytz                      2024.1          py313hca03da5_0  
pyvista                   0.44.2             pyhd8ed1ab_1    conda-forge
pyyaml                    6.0.3                    pypi_0    pypi
pyzmq                     26.4.0          py313he6960b1_0    conda-forge
qhull                     2020.2               h420ef59_5    conda-forge
qt6-main                  6.8.3                hca13b62_2    conda-forge
readline                  8.2                  h1d1bf99_2    conda-forge
referencing               0.37.0                   pypi_0    pypi
requests                  2.32.3             pyhd8ed1ab_1    conda-forge
rfc3339-validator         0.1.4                    pypi_0    pypi
rfc3986-validator         0.1.1                    pypi_0    pypi
rfc3987-syntax            1.1.0                    pypi_0    pypi
rpds-py                   0.30.0                   pypi_0    pypi
scalapack                 2.2.0                h71a4f75_4    conda-forge
scipy                     1.15.2                   pypi_0    pypi
scooby                    0.10.0             pyhd8ed1ab_1    conda-forge
sdl2                      2.32.54              h994913f_0    conda-forge
sdl3                      3.2.10               he842692_0    conda-forge
seaborn                   0.13.2          py313hca03da5_2  
send2trash                2.1.0                    pypi_0    pypi
setuptools                78.1.0             pyhff2d567_0    conda-forge
sigtool                   0.1.3                h44b9a77_0    conda-forge
six                       1.17.0             pyhd8ed1ab_0    conda-forge
slepc                     3.22.2          real_hf0b33f3_300    conda-forge
slepc4py                  3.22.2          py313hac86436_0    conda-forge
snappy                    1.2.1                h98b9ce2_1    conda-forge
soupsieve                 2.8.3                    pypi_0    pypi
spdlog                    1.15.2               h008cadb_0    conda-forge
sqlite                    3.49.1               hd7222ec_2    conda-forge
stack_data                0.6.3              pyhd8ed1ab_1    conda-forge
superlu                   7.0.0                h742a510_1    conda-forge
superlu_dist              9.1.0                h89afcdd_0    conda-forge
svt-av1                   3.0.2                h8ab69cd_0    conda-forge
swemnics                  0.0.post1.dev134+g8d82113a1.d20251125          pypi_0    pypi
tapi                      1300.6.5             h03f4b80_0    conda-forge
tbb                       2022.1.0             h9541205_0    conda-forge
terminado                 0.18.1                   pypi_0    pypi
tinycss2                  1.4.0                    pypi_0    pypi
tk                        8.6.13               h5083fa2_1    conda-forge
tornado                   6.4.2           py313h90d716c_0    conda-forge
tqdm                      4.67.1             pyhd8ed1ab_1    conda-forge
traitlets                 5.14.3             pyhd8ed1ab_1    conda-forge
typing-extensions         4.13.2               h0e9735f_0    conda-forge
typing_extensions         4.13.2             pyh29332c3_0    conda-forge
tzdata                    2025b                h78e105d_0    conda-forge
uri-template              1.3.0                    pypi_0    pypi
urllib3                   2.3.0              pyhd8ed1ab_0    conda-forge
utfcpp                    4.0.6                h54c0426_0    conda-forge
vtk                       9.3.1           qt_py313he4b582b_216    conda-forge
vtk-base                  9.3.1           qt_py313hb5b88ee_216    conda-forge
vtk-io-ffmpeg             9.3.1           qt_py313he4b582b_216    conda-forge
wcwidth                   0.2.13             pyhd8ed1ab_1    conda-forge
webcolors                 25.10.0                  pypi_0    pypi
webencodings              0.5.1                    pypi_0    pypi
websocket-client          1.9.0                    pypi_0    pypi
wslink                    2.3.3              pyhd8ed1ab_0    conda-forge
x264                      1!164.3095           h57fd34a_2    conda-forge
x265                      3.5                  hbc6ce65_3    conda-forge
xorg-libxau               1.0.12               h5505292_0    conda-forge
xorg-libxdmcp             1.1.5                hd74edd7_0    conda-forge
yaml                      0.2.5                h3422bc3_2    conda-forge
yarl                      1.18.3          py313ha9b7d5b_1    conda-forge
zeromq                    4.3.5                hc1bb282_7    conda-forge
zfp                       1.0.1                h1c5d8ea_2    conda-forge
zipp                      3.21.0             pyhd8ed1ab_1    conda-forge
zlib                      1.3.1                h8359307_2    conda-forge
zlib-ng                   2.2.4                h13dfb9a_0    conda-forge
zstandard                 0.23.0          py313h90d716c_1    conda-forge
zstd                      1.5.7                h6491c7d_2    conda-forge
